id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
2945792,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3234340,5,спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3380332,5,Отлично ,0.0,0.0,0.0,1.0,0.0,0.0,0.3843520096306279,0.0019496712763545673,0.9983412140575081,0.004439560439560441
3381812,5,Благодарю за оперативное решение проблемы ! ,0.0,1.0,0.0,0.0,1.0,0.4566033509766989,0.5018720026163818,0.0,0.0,0.5612942547197413
3461991,5,Прекрасный специалист! Побольше таких,0.0,0.0,1.0,0.0,0.0,0.005900114918217315,0.008857786298963697,0.9002145627917489,0.10360417346755217,0.06565917835119987
3551430,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3572768,1,"пересчет, и скорость 
",0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3584536,5,Спасибо за обновление покраски стен,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3596020,5,выполнили быстро,1.0,0.0,0.0,0.0,0.0,0.9384977923688388,0.0008387096774193543,0.04139971446207344,0.1041401063632162,0.005156349712827061
3617808,5,Спасибо! ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3627490,5,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,1.0,1.0,0.0,1.0,0.0,0.8915731730967278,0.7397066666666666,0.24792114080715189,0.7535435649690845,0.0
3657819,5,"спасибо 
",0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3691620,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3695420,5,Решили мой вопрос. Спасибо! ,0.0,0.0,0.0,1.0,1.0,0.06355544431524981,0.0039414722282521695,0.026669474291847687,0.5101572017103478,0.5664309659859018
3716702,5,Очень радует работа УК. Оперативно! Спасибо!,0.0,1.0,1.0,1.0,0.0,0.3,0.74,0.6963508517959183,0.757907182973692,0.0
3726842,5,Все исправили ,0.0,0.0,0.0,1.0,1.0,0.004695027672046077,0.006504724173629239,0.029789008793188215,0.6165592234115891,0.5683540012982428
3745025,5,спасибо за оперативную работу ,1.0,0.0,0.0,0.0,0.0,0.6943956271891512,0.015040026148538454,0.12855197486129305,0.21118330095999277,0.05013294640053305
3749719,5,"Выполнили отлично , обработка заявки была слишком дорогой ",0.0,0.0,0.0,1.0,0.0,0.022028490028490028,0.1821995487742324,0.05591262951690624,0.979439606694175,0.03508265805792953
3751364,5,спасибо большое! теперь не скрипят ,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3766183,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3770102,5,Спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3773834,1,Норм,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3791959,5,спасибо. все прошло очень хорошо,0.0,0.0,0.0,1.0,0.0,0.08322407725282215,0.21115004511588562,0.34135824836319734,0.7378190572669854,0.08882555174308614
3797804,5,"Спасибо, пришли все поменяли за 10 минут ",1.0,0.0,0.0,0.0,0.0,0.7803363074988687,0.024915284432784124,0.15897192760019252,0.29038482210153727,0.0993170866624632
3799741,5,Все очень оперативно ,1.0,0.0,0.0,0.0,0.0,0.85,0.11,0.16564373595420354,0.31687046342825237,0.0
3802024,5,Огромное спасибо.,0.0,0.0,1.0,1.0,0.0,0.011264742944690726,0.01491803629515494,0.5717967506220897,0.5427901718524686,0.019182159815010428
3805876,5,Все отлично! Спасибо.,0.0,0.0,0.0,1.0,0.0,0.0,0.3843520096306279,0.0019496712763545673,0.9983412140575081,0.004439560439560441
3812092,5,Хороший мастер,0.0,0.0,1.0,0.0,0.0,0.04321775394051453,0.17182109553536815,0.991302701338046,0.08068241062157172,0.041470037810754895
3815412,5,"Спасибо за оперативность! 
",1.0,0.0,0.0,0.0,0.0,0.8744274370273594,0.0,0.008196032116037923,0.21849013954824958,0.01114504947237178
